medfile	rat	session	box	dietgroup	date	bottleL	bottleR	licksL	licksR	Totallicks	intakeL	intakeR
!2018-05-14_12h32m.Subject QPP1.5190	5190	s1	1	NR	14/05/2018	Saccharin	Saccharin	215	22	237	0	0
!2018-05-14_12h32m.Subject QPP1.5191	5191	s1	2	NR	14/05/2018	Saccharin	Saccharin	856	101	957	14	0
!2018-05-14_12h32m.Subject QPP1.5194	5194	s1	3	PR	14/05/2018	Saccharin	Saccharin	22	5	27	0	8
!2018-05-14_12h32m.Subject QPP1.5195	5195	s1	4	PR	14/05/2018	Saccharin	Saccharin	47	12	59	1	1
!2018-05-14_13h47m.Subject QPP1.5196	5196	s2	1	PR	14/05/2018	Saccharin	Saccharin	91	24	115	0	0
!2018-05-14_13h47m.Subject QPP1.5197	5197	s2	2	PR	14/05/2018	Saccharin	Saccharin	108	1286	1394	10	3
!2018-05-14_13h47m.Subject QPP1.5207	5207	s2	3	NR	14/05/2018	Saccharin	Saccharin	1129	504	1633	3	1
!2018-05-14_13h47m.Subject QPP1.5208	5208	s2	4	NR	14/05/2018	Saccharin	Saccharin	1042	825	1867	1	2
!2018-05-14_15h00m.Subject QPP1.5209	5209	s3	1	NR	14/05/2018	Saccharin	Saccharin	336	734	1070	2	2
!2018-05-14_15h00m.Subject QPP1.5210	5210	s3	2	NR	14/05/2018	Saccharin	Saccharin	1876	266	2142	12	1
!2018-05-14_15h00m.Subject QPP1.5211	5211	s3	3	PR	14/05/2018	Saccharin	Saccharin	979	533	1512	2	1
!2018-05-14_15h00m.Subject QPP1.5212	5212	s3	4	PR	14/05/2018	Saccharin	Saccharin	567	412	979	1	1
!2018-05-14_16h11m.Subject QPP1.5213	5213	s4	1	PR	14/05/2018	Saccharin	Saccharin	447	295	742	1	1
!2018-05-14_16h11m.Subject QPP1.5214	5214	s4	2	PR	14/05/2018	Saccharin	Saccharin	1007	736	1743	13	2
!2018-05-14_16h11m.Subject QPP1.5215	5215	s4	3	NR	14/05/2018	Saccharin	Saccharin	404	1384	1788	1	5
!2018-05-14_16h11m.Subject QPP1.5217	5217	s4	4	NR	14/05/2018	Saccharin	Saccharin	500	152	652	1	0
!2018-05-15_12h19m.Subject QPP1.5190	5190	s1	1	NR	15/05/2018	Saccharin	Saccharin	136	54	190	1	0
!2018-05-15_12h19m.Subject QPP1.5191	5191	s1	2	NR	15/05/2018	Saccharin	Saccharin	965	584	1549	6	4
!2018-05-15_12h19m.Subject QPP1.5194	5194	s1	3	PR	15/05/2018	Saccharin	Saccharin	1	4	5	0	0
!2018-05-15_12h19m.Subject QPP1.5195	5195	s1	4	PR	15/05/2018	Saccharin	Saccharin	8	4	12	0	0
!2018-05-15_13h32m.Subject QPP1.5196	5196	s2	1	PR	15/05/2018	Saccharin	Saccharin	132	12	144	0	0
!2018-05-15_13h32m.Subject QPP1.5197	5197	s2	2	PR	15/05/2018	Saccharin	Saccharin	449	1270	1719	8	5
!2018-05-15_13h32m.Subject QPP1.5207	5207	s2	3	NR	15/05/2018	Saccharin	Saccharin	1593	1102	2695	5	5
!2018-05-15_13h32m.Subject QPP1.5208	5208	s2	4	NR	15/05/2018	Saccharin	Saccharin	1799	499	2298	5	1
!2018-05-15_14h46m.Subject QPP1.5209	5209	s3	1	NR	15/05/2018	Saccharin	Saccharin	330	2670	3000	0	10
!2018-05-15_14h46m.Subject QPP1.5210	5210	s3	2	NR	15/05/2018	Saccharin	Saccharin	3113	579	3692	17	2
!2018-05-15_14h46m.Subject QPP1.5211	5211	s3	3	PR	15/05/2018	Saccharin	Saccharin	1390	1728	3118	2	8
!2018-05-15_14h46m.Subject QPP1.5212	5212	s3	4	PR	15/05/2018	Saccharin	Saccharin	2888	555	3443	10	3
!2018-05-15_16h03m.Subject QPP1.5213	5213	s4	1	PR	15/05/2018	Saccharin	Saccharin	764	1354	2118	2	6
!2018-05-15_16h03m.Subject QPP1.5214	5214	s4	2	PR	15/05/2018	Saccharin	Saccharin	1761	819	2580	11	4
!2018-05-15_16h03m.Subject QPP1.5215	5215	s4	3	NR	15/05/2018	Saccharin	Saccharin	3825	1788	5613	9	8
!2018-05-15_16h03m.Subject QPP1.5217	5217	s4	4	NR	15/05/2018	Saccharin	Saccharin	1556	0	1556	5	0
!2018-05-16_13h16m.Subject QPP1.5190	5190	s1	1	NR	16/05/2018	Saccharin	Saccharin	671	482	1153	2	1
!2018-05-16_13h16m.Subject QPP1.5191	5191	s1	2	NR	16/05/2018	Saccharin	Saccharin	1225	551	1776	5	0
!2018-05-16_13h16m.Subject QPP1.5194	5194	s1	3	PR	16/05/2018	Saccharin	Saccharin	2	1	3	0	0
!2018-05-16_13h16m.Subject QPP1.5195	5195	s1	4	PR	16/05/2018	Saccharin	Saccharin	114	648	762	1	2
!2018-05-16_12h08m.Subject QPP1.5196	5196	s2	1	PR	16/05/2018	Saccharin	Saccharin	169	58	227	0	0
!2018-05-16_12h08m.Subject QPP1.5197	5197	s2	2	PR	16/05/2018	Saccharin	Saccharin	6382	292	6674	8	1
!2018-05-16_12h08m.Subject QPP1.5207	5207	s2	3	NR	16/05/2018	Saccharin	Saccharin	1834	611	2445	4	4
!2018-05-16_12h08m.Subject QPP1.5208	5208	s2	4	NR	16/05/2018	Saccharin	Saccharin	1253	1833	3086	2	9
!2018-05-16_14h22m.Subject QPP1.5209	5209	s3	1	NR	16/05/2018	Saccharin	Saccharin	2306	1356	3662	11	6
!2018-05-16_14h22m.Subject QPP1.5210	5210	s3	2	NR	16/05/2018	Saccharin	Saccharin	1043	241	1284	16	0
!2018-05-16_14h22m.Subject QPP1.5211	5211	s3	3	PR	16/05/2018	Saccharin	Saccharin	1794	1634	3428	6	6
!2018-05-16_14h22m.Subject QPP1.5212	5212	s3	4	PR	16/05/2018	Saccharin	Saccharin	586	2653	3239	1	12
!2018-05-16_15h30m.Subject QPP1.5213	5213	s4	1	PR	16/05/2018	Saccharin	Saccharin	706	1112	1818	3	5
!2018-05-16_15h30m.Subject QPP1.5214	5214	s4	2	PR	16/05/2018	Saccharin	Saccharin	1514	622	2136	14	2
!2018-05-16_15h30m.Subject QPP1.5215	5215	s4	3	NR	16/05/2018	Saccharin	Saccharin	2786	1435	4221	12	7
!2018-05-16_15h30m.Subject QPP1.5217	5217	s4	4	NR	16/05/2018	Saccharin	Saccharin	3776	1303	5079	10	5
!2018-05-17_12h23m.Subject QPP1.5190	5190	s1	1	NR	17/05/2018	MaltodextrinCH		1844		1844	10	
!2018-05-17_12h23m.Subject QPP1.5191	5191	s1	2	NR	17/05/2018	CaseinCH		1570		1570	10	
!2018-05-17_12h23m.Subject QPP1.5194	5194	s1	3	PR	17/05/2018	MaltodextrinCH		22		22	0	
!2018-05-17_12h23m.Subject QPP1.5195	5195	s1	4	PR	17/05/2018	CaseinCH		2828		2828	9	
!2018-05-17_13h38m.Subject QPP1.5196	5196	s2	1	PR	17/05/2018	MaltodextrinCH		949		949	4	
!2018-05-17_13h38m.Subject QPP1.5197	5197	s2	2	PR	17/05/2018	CaseinCH		1072		1072	5	
!2018-05-17_13h38m.Subject QPP1.5207	5207	s2	3	NR	17/05/2018	MaltodextrinCH		4228		4228	24	
!2018-05-17_13h38m.Subject QPP1.5208	5208	s2	4	NR	17/05/2018	CaseinCH		3087		3087	15	
!2018-05-17_14h44m.Subject QPP1.5209	5209	s3	1	NR	17/05/2018	MaltodextrinCH		4076		4076	19	
!2018-05-17_14h44m.Subject QPP1.5210	5210	s3	2	NR	17/05/2018	CaseinCH		4039		4039	20	
!2018-05-17_14h44m.Subject QPP1.5211	5211	s3	3	PR	17/05/2018	MaltodextrinCH		3042		3042	14	
!2018-05-17_14h44m.Subject QPP1.5212	5212	s3	4	PR	17/05/2018	CaseinCH		3561		3561	22	
!2018-05-17_16h10m.Subject QPP1.5213	5213	s4	1	PR	17/05/2018	MaltodextrinCH		3404		3404	20	
!2018-05-17_16h10m.Subject QPP1.5214	5214	s4	2	PR	17/05/2018	CaseinCH		464		464	11	
!2018-05-17_16h10m.Subject QPP1.5215	5215	s4	3	NR	17/05/2018	MaltodextrinCH		5462		5462	23	
!2018-05-17_16h10m.Subject QPP1.5217	5217	s4	4	NR	17/05/2018	CaseinCH		2113		2113	11	
!2018-05-18_12h27m.Subject QPP1.5190	5190	s1	1	NR	18/05/2018		CaseinGR		489	489		1
!2018-05-18_12h27m.Subject QPP1.5191	5191	s1	2	NR	18/05/2018		MaltodextrinGR		1937	1937		11
!2018-05-18_12h27m.Subject QPP1.5194	5194	s1	3	PR	18/05/2018		CaseinGR		376	376		2
!2018-05-18_12h27m.Subject QPP1.5195	5195	s1	4	PR	18/05/2018		MaltodextrinGR		2311	2311		9
!2018-05-18_13h41m.Subject QPP1.5196	5196	s2	1	PR	18/05/2018		CaseinGR		2463	2463		9
!2018-05-18_13h41m.Subject QPP1.5197	5197	s2	2	PR	18/05/2018		MaltodextrinGR		2863	2863		21
!2018-05-18_13h41m.Subject QPP1.5207	5207	s2	3	NR	18/05/2018		CaseinGR		2564	2564		10
!2018-05-18_13h41m.Subject QPP1.5208	5208	s2	4	NR	18/05/2018		MaltodextrinGR		2882	2882		20
!2018-05-18_14h47m.Subject QPP1.5209	5209	s3	1	NR	18/05/2018		CaseinGR		2691	2691		11
!2018-05-18_14h47m.Subject QPP1.5210	5210	s3	2	NR	18/05/2018		MaltodextrinGR		2373	2373		10
!2018-05-18_14h47m.Subject QPP1.5211	5211	s3	3	PR	18/05/2018		CaseinGR		5120	5120		22
!2018-05-18_14h47m.Subject QPP1.5212	5212	s3	4	PR	18/05/2018		MaltodextrinGR		5349	5349		28
!2018-05-18_15h54m.Subject QPP1.5213	5213	s4	1	PR	18/05/2018		CaseinGR		2017	2017		11
!2018-05-18_15h54m.Subject QPP1.5214	5214	s4	2	PR	18/05/2018		MaltodextrinGR		1767	1767		9
!2018-05-18_15h54m.Subject QPP1.5215	5215	s4	3	NR	18/05/2018		CaseinGR		248	248		2
!2018-05-18_15h54m.Subject QPP1.5217	5217	s4	4	NR	18/05/2018		MaltodextrinGR		3313	3313		14
!2018-05-19_11h59m.Subject QPP1.5190	5190	s1	1	NR	19/05/2018		MaltodextrinCH		2393	2393		16
!2018-05-19_11h59m.Subject QPP1.5191	5191	s1	2	NR	19/05/2018		CaseinCH		1805	1805		16
!2018-05-19_11h59m.Subject QPP1.5194	5194	s1	3	PR	19/05/2018		MaltodextrinCH		1542	1542		9
!2018-05-19_11h59m.Subject QPP1.5195	5195	s1	4	PR	19/05/2018		CaseinCH		2463	2463		20
