tdtfile,medfile,rat,session,box,dietgroup,date,bottleL,bottleR,licksL,licksR,Totallicks,missedtrials,intakeL,intakeR,sig-blue,sig-uv,ttl-trialL,ttl-trialR,ttl-lickL,ttl-lickR,include-mat,include-py,endcol
Giulia-180709-083142,!2018-07-09_07h40m.Subject PPP3.1,PPP3.1,s1,1.0,NR,9072018.0,saccharin,saccharin,0.0,409.0,409.0,,1.0,3.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180709-083142,!2018-07-09_07h40m.Subject PPP3.2,PPP3.2,s1,2.0,NR,9072018.0,saccharin,saccharin,17.0,130.0,147.0,,2.0,1.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180709-100216,!2018-07-09_09h51m.Subject PPP3.3,PPP3.3,s1,1.0,PR,9072018.0,saccharin,saccharin,0.0,10.0,10.0,,2.0,1.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,1.0,0.0,0.0
Giulia-180709-100216,!2018-07-09_09h51m.Subject PPP3.4,PPP3.4,s1,2.0,PR,9072018.0,saccharin,saccharin,589.0,286.0,875.0,,3.0,3.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180709-113302,!2018-07-09_11h05m.Subject PPP3.5,PPP3.5,s1,1.0,NR,9072018.0,saccharin,saccharin,0.0,430.0,430.0,,4.0,2.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180709-113302,!2018-07-09_11h05m.Subject PPP3.6,PPP3.6,s1,2.0,NR,9072018.0,saccharin,saccharin,163.0,354.0,517.0,,2.0,2.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180709-123325 and Giulia-180709-124223,!2018-07-09_12h27m.Subject PPP3.7,PPP3.7,s1,1.0,NR,9072018.0,saccharin,saccharin,100.0,725.0,825.0,,4.0,3.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180709-123325 and Giulia-180709-124223,!2018-07-09_12h29m.Subject PPP3.8,PPP3.8,s1,2.0,PR,9072018.0,saccharin,saccharin,662.0,999.0,1661.0,,4.0,5.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180710-113640,!2018-07-10_11h25m.Subject PPP3.1,PPP3.1,s2,2.0,NR,10072018.0,saccharin,saccharin,81.0,1533.0,1614.0,,2.0,7.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180710-113640,!2018-07-10_11h25m.Subject PPP3.2,PPP3.2,s2,1.0,NR,10072018.0,saccharin,saccharin,297.0,107.0,404.0,,3.0,1.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180710-102312,!2018-07-10_10h11m.Subject PPP3.3,PPP3.3,s2,2.0,PR,10072018.0,saccharin,saccharin,16.0,14.0,30.0,,3.0,1.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180710-102312,!2018-07-10_10h10m.Subject PPP3.4,PPP3.4,s2,1.0,PR,10072018.0,saccharin,saccharin,1238.0,625.0,1863.0,,6.0,4.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180710-090946,!2018-07-10_08h56m.Subject PPP3.5,PPP3.5,s2,2.0,NR,10072018.0,saccharin,saccharin,298.0,1004.0,1302.0,,3.0,6.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180710-090946,!2018-07-10_08h56m.Subject PPP3.6,PPP3.6,s2,1.0,NR,10072018.0,saccharin,saccharin,641.0,868.0,1509.0,,4.0,4.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180710-075617,!2018-07-10_07h31m.Subject PPP3.7,PPP3.7,s2,2.0,NR,10072018.0,saccharin,saccharin,569.0,1206.0,1775.0,,4.0,4.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180710-075617,!2018-07-10_07h31m.Subject PPP3.8,PPP3.8,s2,1.0,PR,10072018.0,saccharin,saccharin,2253.0,2145.0,4398.0,,14.0,13.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
